label1	timestamp	label2	robot_id	label3	milestone
@@TS	1133	Robot	1	ExecCount	2
@@TS	2695	Robot	1	ExecCount	4
@@TS	2784	Robot	0	ExecCount	2
@@TS	3593	Robot	2	ExecCount	1
@@TS	5154	Robot	2	ExecCount	3
@@TS	6053	Robot	1	ExecCount	6
@@TS	6348	Robot	0	ExecCount	4
@@TS	7342	Robot	2	ExecCount	5
@@TS	8683	Robot	1	ExecCount	8
@@TS	8864	Robot	2	ExecCount	7
@@TS	10487	Robot	1	ExecCount	10
@@TS	10734	Robot	2	ExecCount	9
@@TS	11275	Robot	1	ExecCount	12
@@TS	12685	Robot	1	ExecCount	14
@@TS	14282	Robot	0	ExecCount	6
@@TS	15772	Robot	2	ExecCount	11
@@TS	16619	Robot	1	ExecCount	16
@@TS	18540	Robot	0	ExecCount	8
@@TS	19846	Robot	2	ExecCount	13
@@TS	20115	Robot	1	ExecCount	18
@@TS	21050	Robot	0	ExecCount	10
@@TS	22049	Robot	1	ExecCount	20
@@TS	22198	Robot	2	ExecCount	15
@@TS	22504	Robot	0	ExecCount	12
@@TS	23315	Robot	1	ExecCount	22
@@TS	23703	Robot	2	ExecCount	17
@@TS	24412	Robot	0	ExecCount	14
@@TS	25189	Robot	1	ExecCount	24
@@TS	26317	Robot	2	ExecCount	19
@@TS	30711	Robot	1	ExecCount	29
@@TS	31132	Robot	0	ExecCount	16
@@TS	31189	Robot	1	ExecCount	31
@@TS	31509	Robot	2	ExecCount	21
@@TS	31997	Robot	1	ExecCount	33
@@TS	33687	Robot	1	ExecCount	35
@@TS	34431	Robot	2	ExecCount	23
@@TS	35995	Robot	2	ExecCount	25
@@TS	37067	Robot	2	ExecCount	28
@@TS	37234	Robot	0	ExecCount	18
@@TS	37351	Robot	1	ExecCount	37
@@TS	37807	Robot	2	ExecCount	30
@@TS	40773	Robot	1	ExecCount	39
@@TS	40985	Robot	0	ExecCount	20
@@TS	42944	Robot	0	ExecCount	22
@@TS	43351	Robot	2	ExecCount	32
